open,high,low,close,tick_volume,atr14,rsi14,ma50,ma200,signal,position,net_pnl,cum_pnl
4585.97,4589.5,4582.65,4587.88,4624,16.55357142857169,37.712344276589526,4594.433,4520.29465,-1,0,0.0,0.0
4587.8,4589.78,4585.54,4586.1,3304,15.22285714285733,30.718494411836545,4593.9302,4520.9607,-1,0,-0.0,0.0
4586.1,4597.86,4586.1,4597.22,5826,13.961428571428703,44.436939104293025,4593.823600000001,4521.72355,-1,0,0.0,0.0
4597.22,4598.77,4593.24,4597.1,5294,13.25285714285727,38.22269806707555,4593.8922,4522.4841,-1,0,-0.0,0.0
4597.12,4610.53,4597.07,4609.66,7628,12.239285714285804,56.497307412889576,4594.213,4523.321650000001,-1,0,0.0,0.0
4609.67,4610.66,4604.68,4609.12,9931,11.437857142857215,47.01335206383424,4594.452,4524.13685,-1,0,-0.0,0.0
4609.13,4618.4,4606.24,4614.61,15270,11.619285714285784,53.29136443484197,4595.053400000001,4524.920300000001,-1,0,0.0,0.0
4614.58,4619.88,4613.57,4619.16,14995,10.255714285714346,74.72508589267845,4595.4474,4525.69545,-1,0,0.0,0.0
4619.17,4621.35,4614.32,4619.97,12850,9.761428571428626,74.48395488217311,4596.0806,4526.5031500000005,-1,0,0.0,0.0
4619.98,4623.67,4617.97,4620.56,12566,9.302142857142892,73.66630861025288,4596.7442,4527.3459,-1,0,0.0,0.0
4620.56,4622.85,4613.31,4615.12,11015,9.050000000000052,68.0277731699056,4597.4088,4528.16085,-1,0,-0.0,0.0
4615.12,4629.97,4614.9,4628.22,8742,9.531428571428673,72.12453155073861,4598.4152,4529.041450000001,-1,0,0.0,0.0
4628.22,4630.14,4625.23,4626.52,8500,9.158571428571577,80.179458402139,4599.2704,4529.92085,-1,0,-0.0,0.0
4626.52,4630.4,4625.32,4629.34,8403,8.115714285714407,84.6572709611595,4599.9744,4530.78265,-1,0,0.0,0.0
4629.28,4639.65,4629.28,4634.19,9082,8.367142857142946,85.36734380334283,4600.7442,4531.66315,-1,0,0.0,0.0
4634.19,4639.7,4618.01,4619.8,15070,9.613571428571504,71.5804303150344,4601.2591999999995,4532.5018,-1,0,-0.0,0.0
4619.8,4635.24,4618.5,4633.02,14940,9.969285714285823,72.32476925651629,4601.9724,4533.40485,-1,0,0.0,0.0
4633.02,4637.27,4626.13,4637.27,12793,10.370000000000086,73.82279680899651,4602.7878,4534.310450000001,-1,0,0.0,0.0
4637.27,4639.59,4631.55,4637.15,8518,9.982857142857224,69.1248086688775,4603.5022,4535.18635,-1,0,-0.0,0.0
4637.15,4638.39,4632.47,4632.52,7148,9.978571428571545,65.40284358984185,4604.3124,4536.03185,-1,0,-0.0,0.0
4632.51,4634.18,4621.94,4625.06,11603,9.98428571428589,56.704735008419966,4605.1162,4536.8721000000005,-1,0,-0.0,0.0
4625.06,4637.9,4624.46,4634.91,10663,10.493571428571547,59.46173253835804,4606.181,4537.7954,-1,0,0.0,0.0
4634.91,4639.56,4633.25,4637.5,8406,10.442142857142958,60.31055168986762,4607.2518,4538.7078,-1,0,0.0,0.0
4637.49,4637.75,4627.13,4630.42,8461,10.793571428571536,55.38797813360171,4608.246,4539.617249999999,-1,0,-0.0,0.0
4630.42,4637.0,4627.85,4634.95,7339,10.765714285714369,60.9449166480493,4609.147,4540.5861,-1,0,0.0,0.0
4634.94,4638.21,4631.22,4633.04,9497,10.188571428571452,53.0352644742758,4609.9518,4541.54515,-1,0,-0.0,0.0
4633.04,4637.44,4629.25,4630.22,8849,10.422857142857083,52.29756581306297,4610.772,4542.4754,-1,0,-0.0,0.0
4630.26,4632.83,4626.08,4630.37,9025,10.542142857142803,50.661528571492966,4611.6564,4543.4256000000005,-1,0,0.0,0.0
4630.37,4638.89,4630.24,4636.07,10594,10.419285714285706,51.194409139558914,4612.6844,4544.4225,-1,0,0.0,0.0
4636.07,4641.92,4633.72,4638.71,11081,9.455714285714294,64.12247944887667,4613.732,4545.4586,-1,0,0.0,0.0
4638.71,4641.6,4627.34,4631.39,19053,9.278571428571468,48.66502865386866,4614.6234,4546.4848999999995,-1,0,-0.0,0.0
4631.39,4637.22,4624.11,4635.73,17650,9.419285714285772,48.74059534376162,4615.5676,4547.53605,-1,0,0.0,0.0
4635.75,4638.92,4629.63,4635.38,16108,9.508571428571486,48.557927314978116,4616.6638,4548.58245,-1,0,-0.0,0.0
4635.38,4635.38,4606.9,4617.65,26485,11.120000000000086,40.01611386383389,4617.1524,4549.504199999999,-1,0,-0.0,0.0
4617.57,4626.54,4599.4,4615.54,24252,12.184285714285775,43.11342591719286,4617.4546,4550.39905,-1,0,-0.0,0.0
4615.56,4621.88,4609.84,4617.88,18986,12.0842857142858,36.179191681439285,4617.5824,4551.33365,-1,0,0.0,0.0
4617.9,4624.79,4614.92,4621.72,16752,12.338571428571479,37.44829779630464,4617.6516,4552.3078000000005,-1,0,0.0,0.0
4621.72,4623.18,4608.54,4616.99,19391,12.625714285714366,38.9026607082355,4617.3924,4553.2345000000005,-1,0,-0.0,0.0
4616.99,4619.12,4605.61,4611.33,16869,12.937142857142979,30.840363393384365,4617.444,4554.1393,-1,0,-0.0,0.0
4611.33,4616.62,4601.18,4614.28,19800,13.540714285714396,35.035098907298575,4617.3476,4555.04745,-1,0,0.0,0.0
4614.28,4630.11,4612.81,4628.27,17121,14.191428571428657,48.67975625346637,4617.9418,4556.06555,-1,0,0.0,0.0
4628.27,4637.21,4628.1,4635.04,13022,14.360000000000062,52.901702488621616,4618.3752,4557.0743,-1,0,0.0,0.0
4635.04,4642.91,4633.39,4635.02,14894,14.422142857142846,49.29803448736279,4618.8796,4558.117300000001,-1,0,-0.0,0.0
4635.02,4641.49,4634.6,4639.26,12547,14.32857142857139,50.35999475448318,4619.8572,4559.1994,-1,0,0.0,0.0
4639.23,4641.52,4625.93,4634.16,19091,14.423571428571384,51.86733179552158,4620.7056,4560.2675500000005,-1,0,-0.0,0.0
4634.2,4635.52,4625.77,4632.56,14622,14.183571428571343,47.78104436974809,4621.4744,4561.291700000001,-1,0,-0.0,0.0
4632.54,4632.93,4620.97,4622.38,5837,14.374285714285634,42.00098448697991,4622.0558,4562.23105,-1,0,-0.0,0.0
4622.29,4628.17,4617.79,4626.76,4708,13.081428571428464,56.70740685033318,4622.6406,4563.24585,-1,0,0.0,0.0
4626.76,4632.53,4605.52,4609.09,10691,13.072142857142678,46.13633640055231,4623.0454,4564.15225,-1,0,-0.0,0.0
